rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	3	1	1	0.9999779611014693	-599.3630655255511	5.025125628140704E-4	7.191905019545521	C40H45N5O14	[M + H]+	BWFYECRIPQTIPV	InChI=1S/C40H45N5O14/c1-20(2)35(38(54)42-26(17-32(49)50)30(47)19-59-40(56)34-22(4)7-6-8-23(34)5)43-39(55)36(25-12-9-21(3)10-13-25)44-37(53)27(18-33(51)52)41-31(48)16-24-11-14-29(46)28(15-24)45(57)58/h6-15,20,26-27,35-36,46H,16-19H2,1-5H3,(H,41,48)(H,42,54)(H,43,55)(H,44,53)(H,49,50)(H,51,52)	null	CC1=CC=C(C=C1)C(C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)COC(=O)C2=C(C=CC=C2C)C)NC(=O)C(CC(=O)O)NC(=O)CC3=CC(=C(C=C3)O)[N+](=O)[O-]	3.70000005	70911218	PubChem:(70911218)	2	820.302	435.54	9411_EmmaT_02282024_sirius_1_48836
2	1	1	2	0.9999598200680863	-324.8115433295462	0.6437185929648241	11.52263970211565	C14H17N2O10P	[M + K]+	RDWQOBHGUZIVCL	InChI=1S/C14H17N2O10P/c1-8(17)24-4-2-3-9-6-16(14(20)15-13(9)19)12-5-10(18)11(26-12)7-25-27(21,22)23/h6,10-12,18H,4-5,7H2,1H3,(H,15,19,20)(H2,21,22,23)	null	CC(=O)OCC#CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)O)O	-1.86485255	9953032	PubChem:(9953032)	2	443.02799	307.765	4251_EmmaT_02282024_sirius_1_22638
3	1	1	1	0.9999466372009096	-368.88049295795645	0.9999999999999999	16.495916695452163	C17H14O11	[M + H]+	WUOOTCMHOLRCHA	InChI=1S/C17H14O11/c18-9(5-27-16(25)7-1-10(19)14(23)11(20)2-7)6-28-17(26)8-3-12(21)15(24)13(22)4-8/h1-5,18-24H,6H2	null	C1=C(C=C(C(=C1O)O)O)C(=O)OCC(=COC(=O)C2=CC(=C(C(=C2)O)O)O)O	0.800000012	122518981	PubChem:(122518981)	2	395.05845	69.221611328125	1808_EmmaT_02282024_sirius_1_9218
4	1	1	1	0.9991221230209119	-394.3586188705089	0.9904522613065326	15.87274741623839	C18H26N6O10	[M + H]+	HVFLJHPYCQRWQX	InChI=1S/C18H26N6O10/c19-10-1-2-24(18(31)20-10)16-14(29)11(26)8(33-16)4-23-3-7(21-22-23)6-32-17-15(30)13(28)12(27)9(5-25)34-17/h1-3,8-9,11-17,25-30H,4-6H2,(H2,19,20,31)	null	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CN3C=C(N=N3)COC4C(C(C(C(O4)CO)O)O)O)O)O	-4.21050787	44463693;44463694;44464733;44464989;44464990	PubChem:(44463693 44463694 44464733 44464989 44464990)	2	487.17831	39.400000000000006	482_EmmaT_02282024_sirius_1_2522
5	1	1	1	0.9986645666007143	-763.0857778592892	0.9999999999999999	61.638864834169375	C32H37NO16	[M + H]+	RKRVXHCGYWMHKC	InChI=1S/C32H37NO16/c1-15(34)43-14-25(46-18(4)37)29(47-19(5)38)30-28(24(45-17(3)36)13-32(6,49-30)31(41)42-7)33-26(39)10-20-11-27(40)48-23-12-21(44-16(2)35)8-9-22(20)23/h8-9,11-12,24-25,28-30H,10,13-14H2,1-7H3,(H,33,39)	null	CC(=O)OCC(C(C1C(C(CC(O1)(C)C(=O)OC)OC(=O)C)NC(=O)CC2=CC(=O)OC3=C2C=CC(=C3)OC(=O)C)OC(=O)C)OC(=O)C	0.400000006	89184846	PubChem:(89184846)	2	692.21861	463.73640625	11226_EmmaT_02282024_sirius_1_57352
6	1	1	1	0.9936773057158662	-15.665613468923855	0.9999999999999999	36.58573387542813	C14H16N2O5	[M + H]+	ILJOYLTXYCZXTB	InChI=1S/C14H16N2O5/c17-9-3-1-8(2-4-9)7-11(14(20)21)16-13(19)10-5-6-12(18)15-10/h1-4,10-11,17H,5-7H2,(H,15,18)(H,16,19)(H,20,21)	null	C1CC(=O)NC1C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O	0.200000003	23422547;28203846;28203848;28203850;25796392;61152383;104904456;108102932;108102934	COCONUT:(CNP0411198);Training Set;PubChem:(23422547 28203846 28203848 28203850 25796392 61152383 104904456 108102932 108102934);ZINC bio:(ZINC13541624);additional	2646018	293.11341	267.3	3487_EmmaT_02282024_sirius_1_18634
7	1	1	1	0.9922220810498832	-9.940089652498415	0.9999999999999999	39.66349527744572	C14H20N4O2	[M + H]+	AKIHYQWCLCDMMI	InChI=1S/C14H20N4O2/c15-14(16)18-10-2-1-9-17-13(20)8-5-11-3-6-12(19)7-4-11/h3-8,19H,1-2,9-10H2,(H,17,20)(H4,15,16,18)	4-coumaroylagmatine	C1=CC(=CC=C1C=CC(=O)NCCCCN=C(N)N)O	0.400000006	440362;5280691;10826328;25245514;91825720	HMDB:(33460);SuperNatural:(SN00378900 SN00363027);additional;Plantcyc:(N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID);PubMed;COCONUT:(CNP0290027);KNApSAcK:(28060);Natural Products:(UNPD99005 UNPD159410);PubChem:(440362 5280691 10826328 25245514 91825720);CHEBI:(86078 86085 86080 58644 32818 86083);PubChem class - bio and metabolites;KEGG:(C04498);Training Set;Biocyc:(N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID)	20629882	277.16609	323.6308693504334	4709_EmmaT_02282024_sirius_1_24989
8	9	1	2	0.9920887480275561	-247.301083640088	0.45175879396984925	6.922585049980257	C45H36O9	[M + H]+	YIQYJXULTOKECM	InChI=1S/C45H36O9/c46-19-28-1-7-31(8-2-28)34-13-37-22-52-24-39-15-35(32-9-3-29(20-47)4-10-32)17-41(44(39)50)26-54-27-42-18-36(33-11-5-30(21-48)6-12-33)16-40(45(42)51)25-53-23-38(14-34)43(37)49/h1-21,49-51H,22-27H2	null	C1C2=CC(=CC(=C2O)COCC3=CC(=CC(=C3O)COCC4=C(C(=CC(=C4)C5=CC=C(C=C5)C=O)CO1)O)C6=CC=C(C=C6)C=O)C7=CC=C(C=C7)C=O	5.5999999	101411854	PubChem:(101411854)	2	721.24473	450.07	10178_EmmaT_02282024_sirius_1_52380
9	1	1	1	0.9916828495541418	-7.795751116876989	0.9999999999999999	42.59044302065104	C14H20N4O2	[M + H]+	AKIHYQWCLCDMMI	InChI=1S/C14H20N4O2/c15-14(16)18-10-2-1-9-17-13(20)8-5-11-3-6-12(19)7-4-11/h3-8,19H,1-2,9-10H2,(H,17,20)(H4,15,16,18)	4-coumaroylagmatine	C1=CC(=CC=C1C=CC(=O)NCCCCN=C(N)N)O	0.400000006	440362;5280691;10826328;25245514;91825720	HMDB:(33460);SuperNatural:(SN00378900 SN00363027);additional;Plantcyc:(N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID);PubMed;COCONUT:(CNP0290027);KNApSAcK:(28060);Natural Products:(UNPD99005 UNPD159410);PubChem:(440362 5280691 10826328 25245514 91825720);CHEBI:(86078 86085 86080 58644 32818 86083);PubChem class - bio and metabolites;KEGG:(C04498);Training Set;Biocyc:(N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID)	20629882	277.16614	263.99611933156734	3466_EmmaT_02282024_sirius_1_18521
10	1	1	1	0.9900590309362791	-10.579223008420724	0.9999999999999999	27.34673378061411	C14H16N2O4	[M + H]+	XCEZCXFVJLMPKG	InChI=1S/C14H16N2O4/c17-12-7-6-10(15-12)13(18)16-11(14(19)20)8-9-4-2-1-3-5-9/h1-5,10-11H,6-8H2,(H,15,17)(H,16,18)(H,19,20)	Phenylalanine, N-(5-oxo-L-prolyl)-	C1CC(=O)NC1C(=O)NC(CC2=CC=CC=C2)C(=O)O	0.600000024	7408330;7408331;13961383;28214674;28214676;40428046;61137305;103804333;106832122;106832124	COCONUT:(CNP0187663);Natural Products:(UNPD211593);PubChem:(7408330 7408331 13961383 28214674 28214676 40428046 61137305 103804333 106832122 106832124);ZINC bio:(ZINC04899616);additional;Training Set	2678786	277.11863	419.894375	8506_EmmaT_02282024_sirius_1_44491
11	3	1	3	0.9899667167778654	-41.118923311765855	0.022613065326633163	8.438019506990234	C10H10N5O5P	[M + H]+	UBIHBOQJJUOWEL	InChI=1S/C10H11N5O5P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(19-10)1-18-21(17)20-7/h2-4,6-7,10,16H,1H2,(H2,11,12,13)/q+1	null	C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O[P+](=O)O1	-1.60000002	131886286	PubChem:(131886286)	2	312.04877	40.53	645_EmmaT_02282024_sirius_1_3071
